# Chunk-averaged data for fix av and group vx
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount mass vx vy vz v_ux v_uy v_uz c_s[1] c_s[2] c_s[3] c_s[4] v_sx v_sy v_sz v_sxy
200000 10000 8.2656e+07
  244 -4.75 -0.65 9.38074 0.0012996 0.934328 0.405107 0.00908585 1.6786 1.53986 0.738832 -0.0400994 -0.0532239 -0.047784 0.0119961 0.00223232 0.00199648 -1.8359e-06 8.37584e-05
  245 -4.75 -0.55 0.26245 0.000327101 0.280768 0.0881084 -0.0330383 0.442294 0.305327 0.0436932 -0.00535441 -0.00661817 -0.00498435 0.00215312 0.000566129 0.000377554 -3.35681e-05 -7.53785e-05
  246 -4.75 -0.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  247 -4.75 -0.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  248 -4.75 -0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  249 -4.75 -0.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  250 -4.75 -0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  251 -4.75 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  252 -4.75 0.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  253 -4.75 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  254 -4.75 0.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  255 -4.75 0.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  256 -4.75 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  257 -4.75 0.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  258 -4.75 0.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  259 -4.75 0.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  260 -4.75 0.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  261 -4.75 1.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  262 -4.75 1.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  263 -4.75 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  264 -4.75 1.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  265 -4.75 1.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  266 -4.75 1.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
